model,accuracy,precision,recall,f1,roc_auc
MS-ME-Detect final,0.840,0.845,0.833,0.839,0.908
DeBERTa-Ceiling,0.717,0.892,0.493,0.635,0.847
Fakespot-v1,0.763,0.731,0.833,0.779,0.842
AntiAdversarial,0.747,0.753,0.733,0.743,0.795
ChatGPT-Classic,0.533,0.679,0.127,0.213,0.568
Ghostbuster,0.563,0.547,0.733,0.627,0.560
OpenAI-Origin,0.497,0.498,0.873,0.634,0.551
DetectGPT,0.500,0.500,0.080,0.138,0.551
LM-Perplexity,0.517,0.510,0.813,0.627,0.510
Binoculars,0.482,0.492,0.793,0.606,0.509
Fast-DetectGPT,0.490,0.491,0.553,0.520,0.476
