train_name,model_name,experiment,label_probe_accuracy,source_probe_accuracy,domain_probe_accuracy,train_source
leave_out_ghostbuster,qwen25_1_5b,leave_out_ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,0.8165884966674896,0.749012589484078,0.3246729202666008,leave_out_ghostbuster
leave_out_ghostbuster,qwen25_7b,leave_out_ghostbuster_qwen25_7b_seq256_ld32_hd64_lr3em04_cfgB,0.7968402863490496,0.7758578128857072,0.382189582819057,leave_out_ghostbuster
m4,qwen25_1_5b,m4_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,0.8193688792165397,,0.3285540549190296,m4
m4,qwen25_7b,m4_qwen25_7b_seq256_ld32_hd64_lr3em04_cfgB,0.7905011841515714,,0.3788644946553158,m4
combined_strict,qwen25_1_5b,combined_strict_qwen25_1_5b_seq256_ld32_hd64_lr3em04_cfgB,0.8332945718405507,0.5370017210102795,0.3161077259407414,combined_strict
combined_strict,qwen25_7b,combined_strict_qwen25_7b_seq256_ld32_hd64_lr3em04_cfgB,0.8234801618679939,0.5365830968882274,0.3079678124563933,combined_strict
ghostbuster,qwen25_1_5b,ghostbuster_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,0.8738432483474976,,0.6585457979225685,ghostbuster
hc3_plus,qwen25_1_5b,hc3_plus_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,0.7900172117039587,,,hc3_plus
leave_out_hc3_plus,qwen25_1_5b,leave_out_hc3_plus_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,0.8252222965866718,0.6584281480065016,0.2595372406539822,leave_out_hc3_plus
leave_out_m4,qwen25_1_5b,leave_out_m4_qwen25_1_5b_seq256_ld8_hd64_lr1em03_cfgC,0.8647038801906058,0.7088155207624234,0.5027229407760381,leave_out_m4
