bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,3,0.25,0.3333333333333333,0.08333333333333331
3,0.30000000000000004,0.4,15,0.3571111111111111,0.4666666666666667,0.10955555555555557
4,0.4,0.5,31,0.4470967741935483,0.3870967741935484,0.05999999999999994
5,0.5,0.6000000000000001,52,0.5528846153846154,0.40384615384615385,0.14903846153846156
6,0.6000000000000001,0.7000000000000001,70,0.646,0.38571428571428573,0.2602857142857143
7,0.7000000000000001,0.8,72,0.7496296296296296,0.5694444444444444,0.18018518518518523
8,0.8,0.9,43,0.8367441860465116,0.7441860465116279,0.09255813953488368
9,0.9,1.0,14,0.9414285714285713,0.6428571428571429,0.2985714285714284
