bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,0,,,
5,0.5,0.6000000000000001,0,,,
6,0.6000000000000001,0.7000000000000001,1,0.7,1.0,0.30000000000000004
7,0.7000000000000001,0.8,25,0.7746666666666667,0.6,0.17466666666666675
8,0.8,0.9,189,0.8571957671957672,0.5396825396825397,0.3175132275132275
9,0.9,1.0,85,0.9270196078431373,0.3764705882352941,0.5505490196078432
