bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,4,0.37249999999999994,0.25,0.12249999999999994
4,0.4,0.5,23,0.46463768115942033,0.391304347826087,0.07333333333333336
5,0.5,0.6000000000000001,52,0.5614102564102564,0.38461538461538464,0.1767948717948718
6,0.6000000000000001,0.7000000000000001,86,0.6544961240310078,0.3953488372093023,0.25914728682170546
7,0.7000000000000001,0.8,94,0.7475177304964538,0.5638297872340425,0.18368794326241122
8,0.8,0.9,33,0.8358585858585859,0.8484848484848485,0.012626262626262652
9,0.9,1.0,8,0.9533333333333334,0.625,0.32833333333333337
