bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,2,0.26166666666666666,0.5,0.23833333333333334
3,0.30000000000000004,0.4,4,0.34916666666666674,0.25,0.09916666666666674
4,0.4,0.5,9,0.45592592592592596,0.7777777777777778,0.32185185185185183
5,0.5,0.6000000000000001,15,0.5584444444444444,0.6,0.04155555555555557
6,0.6000000000000001,0.7000000000000001,24,0.6576388888888888,0.375,0.2826388888888888
7,0.7000000000000001,0.8,48,0.7534027777777778,0.4166666666666667,0.33673611111111107
8,0.8,0.9,93,0.8510035842293905,0.46236559139784944,0.38863799283154105
9,0.9,1.0,105,0.9323492063492063,0.5714285714285714,0.36092063492063486
