bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,3,0.2511111111111111,0.3333333333333333,0.0822222222222222
3,0.30000000000000004,0.4,17,0.36372549019607847,0.35294117647058826,0.010784313725490213
4,0.4,0.5,36,0.45685185185185184,0.4444444444444444,0.012407407407407423
5,0.5,0.6000000000000001,48,0.5540972222222222,0.4375,0.11659722222222224
6,0.6000000000000001,0.7000000000000001,72,0.6458333333333334,0.3611111111111111,0.28472222222222227
7,0.7000000000000001,0.8,73,0.7495890410958905,0.5616438356164384,0.18794520547945215
8,0.8,0.9,42,0.8500000000000001,0.8095238095238095,0.040476190476190554
9,0.9,1.0,9,0.9581481481481481,0.5555555555555556,0.4025925925925925
