bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,0,,,
5,0.5,0.6000000000000001,0,,,
6,0.6000000000000001,0.7000000000000001,0,,,
7,0.7000000000000001,0.8,17,0.7782352941176471,0.6470588235294118,0.13117647058823534
8,0.8,0.9,203,0.8542364532019704,0.5123152709359606,0.34192118226600976
9,0.9,1.0,80,0.9328749999999999,0.4375,0.4953749999999999
