bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,10,0.4703333333333333,0.4,0.0703333333333333
5,0.5,0.6000000000000001,55,0.5575151515151514,0.38181818181818183,0.17569696969696957
6,0.6000000000000001,0.7000000000000001,96,0.6552083333333334,0.375,0.2802083333333334
7,0.7000000000000001,0.8,87,0.7547892720306514,0.5977011494252874,0.15708812260536398
8,0.8,0.9,43,0.8337209302325582,0.7209302325581395,0.11279069767441874
9,0.9,1.0,9,0.9496296296296296,0.6666666666666666,0.28296296296296297
