bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,1,0.2633333333333333,1.0,0.7366666666666667
3,0.30000000000000004,0.4,1,0.35333333333333333,1.0,0.6466666666666667
4,0.4,0.5,11,0.4518181818181818,0.5454545454545454,0.09363636363636363
5,0.5,0.6000000000000001,17,0.5619607843137254,0.4117647058823529,0.1501960784313725
6,0.6000000000000001,0.7000000000000001,30,0.6596666666666667,0.4,0.2596666666666667
7,0.7000000000000001,0.8,54,0.75641975308642,0.5,0.25641975308641995
8,0.8,0.9,90,0.8497407407407407,0.5333333333333333,0.31640740740740736
9,0.9,1.0,96,0.9361458333333332,0.5,0.43614583333333323
