bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,0,,,
5,0.5,0.6000000000000001,0,,,
6,0.6000000000000001,0.7000000000000001,1,0.6833333333333333,0.0,0.6833333333333333
7,0.7000000000000001,0.8,1,0.7266666666666667,0.0,0.7266666666666667
8,0.8,0.9,14,0.8771428571428571,0.6428571428571429,0.2342857142857142
9,0.9,1.0,284,0.9533098591549296,0.4964788732394366,0.456830985915493
