bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,4,0.2833333333333333,0.25,0.033333333333333326
3,0.30000000000000004,0.4,15,0.35244444444444445,0.2,0.15244444444444444
4,0.4,0.5,36,0.45990740740740743,0.4444444444444444,0.015462962962963012
5,0.5,0.6000000000000001,54,0.5517283950617284,0.37037037037037035,0.1813580246913581
6,0.6000000000000001,0.7000000000000001,60,0.6572777777777777,0.4666666666666667,0.19061111111111106
7,0.7000000000000001,0.8,63,0.7476190476190476,0.5873015873015873,0.1603174603174603
8,0.8,0.9,53,0.8428930817610064,0.6792452830188679,0.16364779874213853
9,0.9,1.0,15,0.9437777777777777,0.6,0.34377777777777774
