bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,4,0.37083333333333335,0.0,0.37083333333333335
4,0.4,0.5,27,0.45703703703703696,0.25925925925925924,0.19777777777777772
5,0.5,0.6000000000000001,58,0.5459770114942528,0.3448275862068966,0.20114942528735624
6,0.6000000000000001,0.7000000000000001,98,0.6501360544217687,0.46938775510204084,0.18074829931972786
7,0.7000000000000001,0.8,81,0.746872427983539,0.654320987654321,0.09255144032921803
8,0.8,0.9,25,0.8401333333333334,0.8,0.040133333333333354
9,0.9,1.0,7,0.9642857142857143,0.5714285714285714,0.3928571428571429
