bin_index,bin_left,bin_right,count,mean_predicted_probability,observed_positive_rate,abs_calibration_gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,2,0.3666666666666667,0.5,0.1333333333333333
4,0.4,0.5,4,0.4291666666666667,0.5,0.0708333333333333
5,0.5,0.6000000000000001,8,0.5625,0.375,0.1875
6,0.6000000000000001,0.7000000000000001,13,0.6592307692307693,0.46153846153846156,0.19769230769230772
7,0.7000000000000001,0.8,13,0.7597435897435898,0.5384615384615384,0.22128205128205136
8,0.8,0.9,72,0.8663888888888889,0.4166666666666667,0.4497222222222222
9,0.9,1.0,188,0.9531205673758866,0.5372340425531915,0.41588652482269506
